Format Version,1.21,Take Name,Take 2017-11-16 05.15.59 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-11-16 05.15.59 PM,Total Frames in Take,536,Total Exported Frames,536,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,wand,wand,wand,wand,wand,wand,wand,wand
,,"8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
224,1.866667,0.157216,-0.238527,0.122885,-0.950414,-0.645993,1.477907,-2.100287,0.001162
225,1.875000,0.149959,-0.239878,0.125773,-0.950869,-0.644538,1.469940,-2.100556,0.001147
226,1.883333,0.142876,-0.242056,0.128339,-0.951065,-0.643585,1.462193,-2.101070,0.001156
227,1.891667,0.135828,-0.245140,0.131739,-0.950843,-0.643077,1.454777,-2.101415,0.001140
228,1.900000,0.129888,-0.247637,0.134232,-0.950677,-0.642468,1.447249,-2.101633,0.001220
229,1.908333,0.123679,-0.249478,0.135786,-0.950803,-0.641880,1.439796,-2.102305,0.001274
230,1.916667,0.117375,-0.250989,0.136297,-0.951131,-0.641299,1.432549,-2.102938,0.001212
231,1.925000,0.112375,-0.252025,0.136512,-0.951430,-0.640779,1.425082,-2.103390,0.001211
232,1.933333,0.106521,-0.252817,0.136798,-0.951853,-0.640473,1.418026,-2.104046,0.001217
233,1.941667,0.100589,-0.253106,0.136898,-0.952407,-0.640144,1.411070,-2.104780,0.001248
234,1.950000,0.095013,-0.252326,0.137252,-0.953135,-0.639673,1.404109,-2.105457,0.001267
235,1.958333,0.088923,-0.252831,0.138456,-0.953415,-0.639718,1.397357,-2.106151,0.001242
236,1.966667,0.082811,-0.253892,0.140552,-0.953376,-0.639950,1.390815,-2.106767,0.001262
237,1.975000,0.076228,-0.254619,0.143516,-0.953290,-0.640217,1.384664,-2.107639,0.001260
238,1.983333,0.070718,-0.255687,0.147172,-0.952871,-0.640710,1.378461,-2.108271,0.001256
239,1.991667,0.065274,-0.257020,0.151052,-0.952294,-0.641406,1.372562,-2.108950,0.001252
240,2.000000,0.060438,-0.257979,0.154908,-0.951734,-0.642119,1.366843,-2.109550,0.001228
241,2.008333,0.055664,-0.259327,0.158283,-0.951103,-0.643014,1.361416,-2.110079,0.001241
242,2.016667,0.051975,-0.260186,0.162375,-0.950387,-0.644178,1.356100,-2.110381,0.001193
243,2.025000,0.048168,-0.260772,0.165053,-0.949966,-0.645298,1.351153,-2.110620,0.001141
244,2.033333,0.043339,-0.260662,0.165943,-0.950073,-0.646280,1.346754,-2.111123,0.001205
